id,first_name,last_name,email
1,Albert,Einstein,einstein@example.com
2,Marie,Curie,curie@example.com
3,Isaac,Newton,newton@example.com
4,Ada,Lovelace,lovelace@example.com
5,Charles,Darwin,darwin@example.com
6,Nikola,Tesla,tesla@example.com
7,Rosalind,Franklin,franklin@example.com
8,Leonhard,Euler,euler@example.com
9,Stephen,Hawking,hawking@example.com
10,Alan,Turing,turing@example.com
11,Max,Planck,planck@example.com
12,Carl,Sagan,sagan@example.com
13,Emmy,Noether,noether@example.com
14,Enrico,Fermi,fermi@example.com
15,Grace,Hopper,hopper@example.com
16,Louis,Pasteur,pasteur@example.com
17,Erwin,Schrödinger,schrodinger@example.com
18,John,von Neumann,vonneumann@example.com
19,Jane,Goodall,goodall@example.com
20,Richard,Feynman,feynman@example.com
